id,is_public,priority,status,subject,description,type,assignee_id,requester_id,created_at,url
1,t,high,closed,Authorization not propagating to remote schema from Clerk,"Hi,

Auth headers aren't propagating to our remote schema:

Config:
```yaml
remote_schemas:
  - name: remote_api
    definition:
      forward_client_headers: true
      headers:
        - name: Authorization
          value: ${{auth_token}}
```

Auth provider: Clerk
Error: CPU limit exceeded

How should we configure header forwarding?",,6056,1,2024-08-13 14:35:42.5071+00,https://hasura.zendesk.com/agent/tickets/1
2,t,high,closed,SSL/TLS configuration failing on GCP GKE,"Hi,

We're trying to set up SSL for our Hasura instance on GCP GKE but encountering issues:

Environment:
- Database: PostgreSQL 13
- Product: Hasura Cloud Standard
- Region: eu-central-1

Error:
```
incompatible types: SSL/TLS handshake failed
```

Our configuration:
```yaml
ssl:
  certificates:
    mode: verify-full
    root_cert: /path/to/cert
```

What's the correct SSL setup for this environment?",,7955,1,2024-06-26 15:54:03.915628+00,https://hasura.zendesk.com/agent/tickets/2
3,t,high,pending,Permission denied for viewer on promotions,"Hello,

Users with viewer role cannot access the promotions table despite having permissions configured:

```json
{
  ""role"": ""viewer"",
  ""table"": ""promotions"",
  ""select"": {
    ""columns"": ""*"",
    ""filter"": {
      ""organization_id"": ""X-Hasura-Org-Id""
    }
  }
}
```

Error:
```
null value violation for role viewer
```

What's missing in our permission config?",,8315,1,2024-10-16 09:18:16.903629+00,https://hasura.zendesk.com/agent/tickets/3
4,t,high,closed,Remote schema stitching failed for remote joins,"Hello team,

Remote schema stitching is failing for our remote joins integration:

Schema config:
```yaml
remote_schemas:
  - name: remote_remote joins
    definition:
      url: https://remote.australia-southeast1/graphql
      timeout: 60 seconds
      forward_headers: true
```

Error:
```
inconsistent state during schema stitching
Conflicting types detected
```

How can we resolve these schema conflicts?",,7774,1,2024-05-24 08:23:03.810155+00,https://hasura.zendesk.com/agent/tickets/4
5,t,normal,closed,High memory usage with one-to-many relationship,"Hello,

Our one-to-many relationship between tables is causing high memory usage:

Setup:
- Parent table: permissions (1M rows)
- Child table: permissions (1M rows)
- Request volume: 1M/day

Memory usage spikes when querying:
```graphql
query {
  parent {
    child {
      grandchild {
        # deep nesting
      }
    }
  }
}
```

How can we optimize this relationship query?",,8315,1,2024-05-19 06:23:56.474629+00,https://hasura.zendesk.com/agent/tickets/5
6,t,normal,closed,Event trigger expired JWT token for invoices,"Hi team,

Our event trigger for invoices is failing:

Configuration:
```yaml
name: process_invoices_changes
table: invoices
webhook: https://our-service.us-east-1/webhook
retry_conf:
  num_retries: 3
  interval_sec: 10
```

Error:
```
expired JWT token when processing event
Request volume: 10M/day
Failed after: 2 minutes
```

How can we make our event triggers more reliable?",,7774,1,2024-10-13 16:32:57.819561+00,https://hasura.zendesk.com/agent/tickets/6
7,t,low,closed,Query performance degradation with nested object relationship joins,"Hi team,

Experiencing severe performance issues with nested queries:

Query pattern:
```graphql
query {
  activity_logs(where: {status: {_eq: ""active""}}) {
    id
    related_activity_logs {
      nested_activity_logs {
        deep_activity_logs
      }
    }
  }
}
```

Metrics:
- Response time: 30 seconds
- Data size: 5M rows
- Connection pool: 20

How can we optimize these nested queries?",,1754,2,2024-05-24 05:54:59.492244+00,https://hasura.zendesk.com/agent/tickets/7
8,t,normal,closed,Action relationships not working with organizations,"Hello,

We're having issues with relationships in our custom action:

Action type:
```graphql
type ActionResponse {
  id: Int!
  related_organizations: [organizations!]!
}
```

Error:
```
SSL/TLS error when resolving relationship
Table: organizations
Type: object relationship
```

How do we properly set up action relationships?",,8907,2,2024-07-27 18:03:31.145961+00,https://hasura.zendesk.com/agent/tickets/8
9,t,normal,open,Cron trigger failing for discounts updates,"Hi Hasura team,

Our cron trigger for updating discounts is failing:

Trigger configuration:
```yaml
name: update_discounts_status
schedule: ""*/15 * * * *""
payload:
  operation: ""bulk_update""
  table: ""discounts""
webhook: https://cron.ap-south-1/update
```

Error:
```
permission denied
Last run: 5 seconds ago
Affected rows: 10K rows
```

How can we make this cron job more reliable?",,7913,2,2024-04-26 17:28:38.742679+00,https://hasura.zendesk.com/agent/tickets/9
10,t,normal,closed,Performance issues with remote joins on teams,"Hello team,

Remote joins are causing performance issues:

Query:
```graphql
query {
  teams {
    local_field
    remote_data {
      nested_field
    }
  }
}
```

Metrics:
- Response time: 10 seconds
- Requests: 1M/day
- Error rate: network unreachable

How can we optimize remote join performance?",,9554,2,2024-10-16 11:05:17.014977+00,https://hasura.zendesk.com/agent/tickets/10
11,t,high,pending,Memory spikes during event trigger operations,"Hello,

We're seeing memory spikes during event trigger operations:

Environment:
- Product: Hasura Cloud Standard
- Database: TimescaleDB
- Load: 100/day

Monitoring shows:
- Memory usage: >80%
- Operation time: 5 minutes
- Error rate: Increasing with column access denied

What's the recommended resource configuration for our workload?",,7913,2,2024-07-27 18:29:53.557323+00,https://hasura.zendesk.com/agent/tickets/11
12,t,urgent,closed,Microsoft Azure AD integration not working,"Hi,

We're having trouble integrating Microsoft Azure AD with Hasura. Configuration:

```yaml
auth:
  provider: Microsoft Azure AD
  jwt:
    algorithm: HS384
    claims_format: json
```

Error received:
```
foreign key violation when validating JWT
```

What's the correct setup for Microsoft Azure AD?",,,2,2024-07-27 22:34:44.07542+00,https://hasura.zendesk.com/agent/tickets/12
13,t,normal,open,Failed deployment to VMware vSphere with unauthorized role,"Hello Hasura team,

Our deployment to VMware vSphere failed with:

```
unauthorized role during container initialization
```

Environment:
- Product: Hasura Cloud Pro
- Version: v2.20.0
- Region: eu-west-1
- Database: AWS RDS PostgreSQL

Deployment logs:
```
Container failed to start
Health check failed after 30 seconds
Last error: unauthorized role
```

How can we resolve this deployment issue?",,9554,2,2024-09-07 04:22:02.248657+00,https://hasura.zendesk.com/agent/tickets/13
14,t,high,open,Cognito integration not working,"Hi,

We're having trouble integrating Cognito with Hasura. Configuration:

```yaml
auth:
  provider: Cognito
  jwt:
    algorithm: HS256
    claims_format: json
```

Error received:
```
constraint violation when validating JWT
```

What's the correct setup for Cognito?",,1454,3,2024-09-05 17:05:26.125799+00,https://hasura.zendesk.com/agent/tickets/14
15,t,high,closed,Complex permission policy failing on pricing_plans,"Hello,

Our complex permission policy isn't working:

Policy:
```json
{
  ""role"": ""admin"",
  ""table"": ""pricing_plans"",
  ""select"": {
    ""filter"": {
      ""_or"": [
        {""org_id"": ""X-Hasura-Org-Id""},
        {""public"": {""_eq"": true}},
        {""shared_with"": {""_contains"": ""X-Hasura-User-Id""}}
      ]
    }
  }
}
```

Error: connection timeout

How can we implement this permission structure?",,9554,3,2024-09-17 05:17:28.230236+00,https://hasura.zendesk.com/agent/tickets/15
16,t,low,open,Computed field performance issue on projects,"Hi,

Our computed field is causing performance issues:

Function definition:
```sql
CREATE FUNCTION compute_projects_stats(row projects)
RETURNS jsonb AS $$
  -- Complex calculation involving one-to-one
  -- Current runtime: 2 minutes
$$ LANGUAGE sql STABLE;
```

Scale:
- Table size: 10M rows
- Requests: 100K/day
- Concurrent users: 10

How can we optimize this computed field?",,1754,3,2024-06-29 08:38:59.818451+00,https://hasura.zendesk.com/agent/tickets/16
17,t,normal,pending,Schema conflicts during TimescaleDB migration,"Hello,

We're experiencing schema conflicts while migrating our TimescaleDB:

Affected objects:
- Table: user_devices (5M rows)
- Relationship: nested object relationship
- Custom types: numeric

Error:
```
rate limit exceeded: Schema conflict detected
Conflicting objects: user_devices
```

What's the recommended migration strategy?",,,3,2024-09-26 18:14:04.347166+00,https://hasura.zendesk.com/agent/tickets/17
18,t,normal,closed,Computed field errors with recursive relationship relationship,"Hello support,

Computed field failing when accessing related data:

Schema:
```graphql
type user_preferences {
  id: Int!
  computed_field: JSON
  related_user_preferences: [user_preferences]
}
```

Error:
```
constraint violation when computing field
Relationship type: recursive relationship
```

How should we structure computed fields with relationships?",,8315,4,2024-08-10 18:00:06.060955+00,https://hasura.zendesk.com/agent/tickets/18
19,t,normal,closed,Memory spikes during nested mutation operations,"Hello,

We're seeing memory spikes during nested mutation operations:

Environment:
- Product: Hasura Cloud Enterprise
- Database: PostgreSQL 12
- Load: 100/day

Monitoring shows:
- Memory usage: >80%
- Operation time: 5 minutes
- Error rate: Increasing with permission denied

What's the recommended resource configuration for our workload?",,7955,5,2024-07-09 10:36:52.112811+00,https://hasura.zendesk.com/agent/tickets/19
20,t,normal,closed,Event trigger webhook timeout on GCP GKE,"Hello,

Event trigger webhooks are timing out on GCP GKE:

Setup:
- Table: organizations
- Events: INSERT, UPDATE
- Concurrent events: 10
- Timeout: 10 seconds

Error:
```
constraint violation: webhook response timeout
Pending events: 1K/day
```

What's the best way to handle high-volume event triggers?",,1454,5,2024-10-03 12:24:57.799973+00,https://hasura.zendesk.com/agent/tickets/20
21,t,normal,closed,Custom webhook authentication failing,"Hi Hasura team,

Our custom webhook authentication is failing with check constraint violation. Setup:

Webhook config:
```yaml
auth:
  webhook:
    mode: POST
    url: https://our-auth-server/eu-central-1
    timeout: 60 seconds
```

Current load:
- Request volume: 10K/day
- Concurrent users: 5000

How can we debug this?",,7955,5,2024-07-18 06:31:29.57883+00,https://hasura.zendesk.com/agent/tickets/21
22,t,normal,closed,Complex permission policy failing on products,"Hello,

Our complex permission policy isn't working:

Policy:
```json
{
  ""role"": ""admin"",
  ""table"": ""products"",
  ""select"": {
    ""filter"": {
      ""_or"": [
        {""org_id"": ""X-Hasura-Org-Id""},
        {""public"": {""_eq"": true}},
        {""shared_with"": {""_contains"": ""X-Hasura-User-Id""}}
      ]
    }
  }
}
```

Error: invalid JWT token

How can we implement this permission structure?",,7955,5,2024-09-08 23:05:23.479473+00,https://hasura.zendesk.com/agent/tickets/22
23,t,high,closed,Memory spikes during remote schema query operations,"Hello,

We're seeing memory spikes during remote schema query operations:

Environment:
- Product: Hasura Cloud
- Database: TimescaleDB
- Load: 10M/day

Monitoring shows:
- Memory usage: >80%
- Operation time: 5 minutes
- Error rate: Increasing with check constraint violation

What's the recommended resource configuration for our workload?",,7840,5,2024-07-14 22:10:59.343688+00,https://hasura.zendesk.com/agent/tickets/23
24,t,normal,closed,Permission denied for guest on roles,"Hello,

Users with guest role cannot access the roles table despite having permissions configured:

```json
{
  ""role"": ""guest"",
  ""table"": ""roles"",
  ""select"": {
    ""columns"": ""*"",
    ""filter"": {
      ""organization_id"": ""X-Hasura-Org-Id""
    }
  }
}
```

Error:
```
schema conflict for role guest
```

What's missing in our permission config?",,1754,6,2024-06-08 13:43:27.557964+00,https://hasura.zendesk.com/agent/tickets/24
25,t,normal,closed,Complex permission policy failing on inventory,"Hello,

Our complex permission policy isn't working:

Policy:
```json
{
  ""role"": ""viewer"",
  ""table"": ""inventory"",
  ""select"": {
    ""filter"": {
      ""_or"": [
        {""org_id"": ""X-Hasura-Org-Id""},
        {""public"": {""_eq"": true}},
        {""shared_with"": {""_contains"": ""X-Hasura-User-Id""}}
      ]
    }
  }
}
```

Error: connection timeout

How can we implement this permission structure?",,7774,7,2024-05-11 19:48:34.690605+00,https://hasura.zendesk.com/agent/tickets/25
26,t,normal,open,Custom action failing with inconsistent state,"Hi Hasura support,

Our custom action is failing with inconsistent state:

Action definition:
```graphql
type Mutation {
  process_organizations(id: Int!): ProcessResult
}
```

Handler configuration:
```yaml
handler: https://actions.eu-central-1/process
timeout: 10 seconds
retry_config:
  max_retries: 3
```

Current load:
- Requests: 10M/day
- Concurrent: 1000

How should we debug this action?",,,7,2024-06-26 00:54:26.739395+00,https://hasura.zendesk.com/agent/tickets/26
27,t,normal,closed,Remote schema requests failing after 5 minutes,"Hi,

Remote schema requests are timing out after 5 minutes:

Environment:
- Endpoint: us-east-1
- Load: 1M/day
- Users: 10000

Error log:
```
inconsistent metadata: upstream service timeout
Failed requests: 1M/day
```

What's the recommended timeout configuration for remote schemas?",incident,7774,7,2024-10-01 20:09:58.111166+00,https://hasura.zendesk.com/agent/tickets/27
28,t,high,closed,Query performance degradation on media,"Hi Hasura team,

We're seeing significant performance issues with queries on media:

Details:
- Table size: 5M rows
- Concurrent users: 500
- Query complexity: 2000
- Response time: > 5 minutes

Query pattern:
```graphql
query {
  $media(
    where: { status: { _eq: ""active"" } }
    order_by: { created_at: desc }
  ) {
    id
    # nested fields
  }
}
```

How can we optimize this query?",,8315,7,2024-09-28 15:06:23.193147+00,https://hasura.zendesk.com/agent/tickets/28
29,t,low,open,Scheduled trigger webhook returning null value violation,"Hello,

Our scheduled data aggregation trigger is failing:

Details:
- Schedule: Every 5 seconds
- Data volume: 100M rows
- Processing time: > 5 seconds

Webhook response:
```json
{
  ""status"": ""error"",
  ""code"": ""null value violation"",
  ""message"": ""Failed to aggregate customers""
}
```

What's the best practice for handling long-running scheduled operations?",,1754,8,2024-07-26 16:03:35.320516+00,https://hasura.zendesk.com/agent/tickets/29
30,t,urgent,closed,SSL/TLS configuration failing on Kubernetes (self-hosted),"Hi,

We're trying to set up SSL for our Hasura instance on Kubernetes (self-hosted) but encountering issues:

Environment:
- Database: PostgreSQL 13
- Product: Hasura Enterprise
- Region: us-east-1

Error:
```
network unreachable: SSL/TLS handshake failed
```

Our configuration:
```yaml
ssl:
  certificates:
    mode: verify-full
    root_cert: /path/to/cert
```

What's the correct SSL setup for this environment?",,7840,8,2024-08-19 16:43:23.981832+00,https://hasura.zendesk.com/agent/tickets/30
31,t,normal,pending,Computed field performance issue on attachments,"Hi,

Our computed field is causing performance issues:

Function definition:
```sql
CREATE FUNCTION compute_attachments_stats(row attachments)
RETURNS jsonb AS $$
  -- Complex calculation involving many-to-one
  -- Current runtime: 5 seconds
$$ LANGUAGE sql STABLE;
```

Scale:
- Table size: 50M rows
- Requests: 100M/day
- Concurrent users: 500

How can we optimize this computed field?",,8907,9,2024-08-19 21:58:33.483991+00,https://hasura.zendesk.com/agent/tickets/31
32,t,normal,open,Cannot connect to PostgreSQL 13 on Docker Desktop,"Hi Hasura team,

We're having trouble connecting our PostgreSQL 13 instance running on Docker Desktop. The connection details appear correct but we keep getting:

Error:
```
migration failed: connection failed
```

Environment:
- Product: Hasura Cloud Enterprise
- Version: v2.15.2
- Region: sa-east-1
- Database size: 10TB

We've verified network access and credentials. What else should we check?",,7840,9,2024-10-01 14:07:52.70195+00,https://hasura.zendesk.com/agent/tickets/32
33,t,normal,closed,SSL/TLS configuration failing on Heroku,"Hi,

We're trying to set up SSL for our Hasura instance on Heroku but encountering issues:

Environment:
- Database: CockroachDB
- Product: Hasura Enterprise
- Region: eu-central-1

Error:
```
missing required claims: SSL/TLS handshake failed
```

Our configuration:
```yaml
ssl:
  certificates:
    mode: verify-full
    root_cert: /path/to/cert
```

What's the correct SSL setup for this environment?",,8315,9,2024-09-19 14:43:47.417899+00,https://hasura.zendesk.com/agent/tickets/33
34,t,normal,closed,Query performance degradation on transactions,"Hi Hasura team,

We're seeing significant performance issues with queries on transactions:

Details:
- Table size: 100K rows
- Concurrent users: 100
- Query complexity: 5000
- Response time: > 60 seconds

Query pattern:
```graphql
query {
  $transactions(
    where: { status: { _eq: ""active"" } }
    order_by: { created_at: desc }
  ) {
    id
    # nested fields
  }
}
```

How can we optimize this query?",,1454,9,2024-08-26 18:24:05.252078+00,https://hasura.zendesk.com/agent/tickets/34
